Address,Type,Datetime,Latitude,Longitude,Report Location,Incident Number
Aurora Av N / N 61st St,Car Fire,08/22/2012 04:45:00 AM +0000,47.673152,-122.347353,"(47.673152, -122.347353)",F120078994
12th Av Ne / Ne 69th St,Car Fire,08/25/2012 02:20:00 AM +0000,47.678752,-122.3157,"(47.678752, -122.3157)",F120079982
23rd Av / E Pine St,Car Fire,08/28/2012 01:56:00 AM +0000,47.61531,-122.302651,"(47.61531, -122.302651)",F120081051
5700 24th Av Nw,Car Fire W/Exp.,08/28/2012 04:46:00 AM +0000,47.670187,-122.387587,"(47.670187, -122.387587)",F120081125
2240 Nw 58th St,Car Fire,08/28/2012 04:47:00 AM +0000,47.670913,-122.385303,"(47.670913, -122.385303)",F120081126
4800 RAINIER AV S,Car Fire W/Exp.,08/28/2012 11:56:00 PM +0000,47.559464,-122.285964,"(47.559464, -122.285964)",F120081414
Myers Way S / Olson Pl Sw,Car Fire,08/29/2012 12:43:00 AM +0000,47.522322,-122.334841,"(47.522322, -122.334841)",F120081435
Sb I5 At Mid Boeing Field,Car Fire Freeway,08/30/2012 03:05:00 AM +0000,47.545461,-122.308073,"(47.545461, -122.308073)",F120081851
516 Broad St,Car Fire,08/31/2012 01:40:00 AM +0000,47.621056,-122.347158,"(47.621056, -122.347158)",F120082154
26th Av / E Jefferson St,Car Fire,08/31/2012 07:06:00 PM +0000,47.606174,-122.298897,"(47.606174, -122.298897)",F120082384
7th Av / James St,Car Fire,09/02/2012 12:00:00 AM +0000,47.604625,-122.32697,"(47.604625, -122.32697)",F120082924
5th Av Ne / Ne 103rd St,Car Fire,09/03/2012 07:59:00 AM +0000,47.70314,-122.323148,"(47.70314, -122.323148)",F120083430
BEACON AV S / S ALASKA ST,Car Fire,09/03/2012 08:44:00 AM +0000,47.561105,-122.305087,"(47.561105, -122.305087)",F120083442
Eb I90 Exp At East Highrise,Car Fire Freeway,09/04/2012 11:37:00 PM +0000,47.589505,-122.258523,"(47.589505, -122.258523)",M120084021
Nb I5 At Spokane,Car Fire Freeway,09/07/2012 06:49:00 PM +0000,47.566974,-122.32047,"(47.566974, -122.32047)",F120084972
14th Av Nw / Nw 62nd St,Car Fire,09/09/2012 05:17:00 AM +0000,47.673815,-122.373577,"(47.673815, -122.373577)",F120085629
560 S Michigan St,Car Fire,09/10/2012 08:34:00 PM +0000,47.546015,-122.327038,"(47.546015, -122.327038)",F120086173
560 S Michigan St,Car Fire,09/10/2012 08:34:00 PM +0000,47.546015,-122.327038,"(47.546015, -122.327038)",F120086173
14th Av E / E Thomas St,Car Fire,09/11/2012 05:48:00 PM +0000,47.62112,-122.314686,"(47.62112, -122.314686)",F120086435
32ND AV NW / NW 57TH ST,Car Fire,09/12/2012 04:57:00 PM +0000,47.670199,-122.398324,"(47.670199, -122.398324)",F120086785
Nb I5 Cd To Madison,Car Fire Freeway,09/12/2012 07:32:00 PM +0000,47.603904,-122.326696,"(47.603904, -122.326696)",F120086819
1700 E MADISON ST,Car Fire,09/15/2012 01:02:00 AM +0000,47.61559,-122.310151,"(47.61559, -122.310151)",F120087708
6722 Fox Av S,Car Fire,09/16/2012 02:06:00 AM +0000,47.542153,-122.329489,"(47.542153, -122.329489)",F120088092
1364 Lexington Way E,Car Fire,09/20/2012 02:47:00 AM +0000,47.631542,-122.289262,"(47.631542, -122.289262)",F120089538
17th Av / E Cherry St,Car Fire,09/20/2012 03:04:00 PM +0000,47.608031,-122.310236,"(47.608031, -122.310236)",F120089654
6th Av S / S Holgate St,Car Fire,09/26/2012 10:30:00 PM +0000,47.586175,-122.325975,"(47.586175, -122.325975)",F120091844
110 S Horton St,Car Fire,09/24/2012 04:53:00 AM +0000,47.574386,-122.333993,"(47.574386, -122.333993)",F120090918
Sw Orchard St / Delridge Way Sw,Car Fire,09/24/2012 08:04:00 PM +0000,47.537954,-122.361092,"(47.537954, -122.361092)",F120091118
3rd Av / Pike St,Car Fire,09/25/2012 11:41:00 PM +0000,47.60975,-122.337793,"(47.60975, -122.337793)",F120091527
Nb I5 Cd At Yesler,Car Fire Freeway,09/25/2012 03:59:00 PM +0000,47.597676,-122.320163,"(47.597676, -122.320163)",F120091404
Nb I5 At 130,Car Fire Freeway,09/26/2012 07:19:00 PM +0000,47.719838,-122.324131,"(47.719838, -122.324131)",F120091791
Sb Sr99 At Battery St Tunnel,Car Fire Freeway,09/27/2012 07:16:00 PM +0000,47.618721,-122.343734,"(47.618721, -122.343734)",F120092107
Nb I5 At 130,Car Fire Freeway,09/26/2012 04:04:00 AM +0000,47.719838,-122.324131,"(47.719838, -122.324131)",F120091606
Wb I90 At Tunnel,Car Fire Freeway,09/28/2012 05:08:00 PM +0000,47.590516,-122.302426,"(47.590516, -122.302426)",F120092409
Eb Sr520 At Mid Span,Car Fire Freeway,09/30/2012 09:47:00 AM +0000,47.644945,-122.291116,"(47.644945, -122.291116)",F120093108
S Augusta St / Luther Av S,Car Fire,10/01/2012 07:02:00 AM +0000,47.499975,-122.26495,"(47.499975, -122.26495)",F120093382
Nb I5 At Spokane,Car Fire Freeway,10/01/2012 05:36:00 PM +0000,47.566974,-122.32047,"(47.566974, -122.32047)",F120093481
Nb I5 At Spokane,Car Fire Freeway,10/01/2012 08:58:00 PM +0000,47.566974,-122.32047,"(47.566974, -122.32047)",F120093536
Sb I5 To Northgate Mall,Car Fire Freeway,10/02/2012 07:09:00 PM +0000,47.709571,-122.330267,"(47.709571, -122.330267)",F120093837
1002 Sw Spokane St,Car Fire,10/02/2012 05:11:00 PM +0000,47.571483,-122.346436,"(47.571483, -122.346436)",F120093811
1531 31st Av S,Car Fire,10/04/2012 08:13:00 AM +0000,47.589418,-122.292504,"(47.589418, -122.292504)",F120094369
Rainier Av S / S Weller St,Car Fire,10/05/2012 12:19:00 AM +0000,47.597492,-122.31276,"(47.597492, -122.31276)",F120094611
20th Av S / S Jackson St,Car Fire,10/05/2012 05:57:00 PM +0000,47.599255,-122.306357,"(47.599255, -122.306357)",F120094865
100 Seneca St,Car Fire,10/05/2012 02:56:00 PM +0000,47.606122,-122.337544,"(47.606122, -122.337544)",F120094788
Nb I5 At Sr520,Car Fire Freeway,10/05/2012 05:28:00 PM +0000,47.638512,-122.322606,"(47.638512, -122.322606)",F120094849
Mount Rainier Dr S / Mount St Helens Pl S,Car Fire,10/05/2012 01:40:00 PM +0000,47.576247,-122.285758,"(47.576247, -122.285758)",F120094776
Sb I5 At Northgate,Car Fire Freeway,10/05/2012 04:54:00 PM +0000,47.706245,-122.330019,"(47.706245, -122.330019)",F120094833
15th Av S / Beacon Av S,Car Fire,10/05/2012 09:59:00 AM +0000,47.580593,-122.313412,"(47.580593, -122.313412)",F120094760
M L King Jr Way S / S Genesee St,Car Fire,10/06/2012 02:17:00 PM +0000,47.563807,-122.29537,"(47.563807, -122.29537)",F120095163
5th Pl Sw / Sw Roxbury St,Car Fire,10/07/2012 07:24:00 PM +0000,47.51728,-122.341387,"(47.51728, -122.341387)",V120095579
13000 3rd Av Ne,Car Fire Freeway,10/07/2012 09:08:00 AM +0000,47.723143,-122.326232,"(47.723143, -122.326232)",F120095484
Ne 90th St / Lake City Way Ne,Car Fire,10/10/2012 01:21:00 PM +0000,47.693931,-122.30552,"(47.693931, -122.30552)",F120096639
19th Av / E Madison St,Car Fire,10/10/2012 10:53:00 PM +0000,47.616733,-122.307409,"(47.616733, -122.307409)",F120096786
Ne 107th St / 15th Av Ne,Car Fire,10/12/2012 01:48:00 AM +0000,47.706699,-122.31243,"(47.706699, -122.31243)",F120097177
2712 Belvidere Av Sw,Car Fire,10/11/2012 09:28:00 PM +0000,47.579207,-122.379161,"(47.579207, -122.379161)",F120097091
9714 Greenwood Av N,Car Fire,10/14/2012 06:28:00 PM +0000,47.699674,-122.355396,"(47.699674, -122.355396)",F120097956
4700 Phinney Av N,Car Fire,10/13/2012 01:14:00 PM +0000,47.66288,-122.353974,"(47.66288, -122.353974)",F120097595
Nb I5 At Mercer,Car Fire Freeway,10/16/2012 02:47:00 PM +0000,47.620184,-122.328213,"(47.620184, -122.328213)",F120098550
